method,image_idx,n_out
advanced,132,35
advanced,133,60
advanced,134,34
advanced,135,30
advanced,136,15
advanced,137,27
advanced,138,49
advanced,139,26
advanced,140,14
advanced,141,30
advanced,142,29
advanced,143,27
advanced,144,27
advanced,145,73
advanced,146,23
advanced,147,12
advanced,148,51
advanced,149,45
advanced,150,18
advanced,151,61
advanced,152,29
advanced,153,18
advanced,154,40
advanced,155,11
advanced,156,12
advanced,157,20
advanced,158,27
advanced,159,30
advanced,160,36
advanced,161,24
advanced,162,89
advanced,163,8
advanced,164,19
advanced,165,10
advanced,166,28
advanced,167,16
advanced,168,17
advanced,169,24
advanced,170,37
advanced,171,39
advanced,172,34
advanced,173,7
advanced,174,36
advanced,175,17
advanced,176,19
advanced,177,32
advanced,178,33
advanced,179,34
advanced,180,21
advanced,181,37
advanced,182,51
advanced,183,39
advanced,184,48
advanced,185,48
advanced,186,48
advanced,187,18
advanced,188,16
advanced,189,40
advanced,190,34
advanced,191,31
advanced,192,33
advanced,193,20
advanced,194,31
advanced,195,23
advanced,196,24
advanced,197,26
advanced,198,54
advanced,199,50
advanced,200,41
advanced,201,49
advanced,202,26
advanced,203,30
advanced,204,30
advanced,205,40
advanced,206,48
advanced,207,22
advanced,208,73
advanced,209,15
advanced,210,60
advanced,211,17
advanced,212,55
advanced,213,26
advanced,214,44
advanced,215,35
advanced,216,10
advanced,217,25
advanced,218,33
advanced,219,14
advanced,220,32
advanced,221,25
advanced,222,29
advanced,223,36
advanced,224,25
advanced,225,19
advanced,226,27
advanced,227,43
advanced,228,21
advanced,229,39
advanced,230,45
advanced,231,16
advanced,232,34
advanced,233,25
advanced,234,33
advanced,235,32
advanced,236,31
advanced,237,66
advanced,238,29
advanced,239,16
advanced,240,46
advanced,241,55
advanced,242,12
advanced,243,22
advanced,244,42
advanced,245,40
advanced,246,43
advanced,247,30
advanced,248,30
advanced,249,28
advanced,250,44
advanced,251,30
advanced,252,32
advanced,253,18
advanced,254,27
advanced,255,28
advanced,256,40
advanced,257,35
advanced,258,37
advanced,259,29
advanced,260,33
advanced,261,54
advanced,262,44
advanced,263,21
advanced,264,35
advanced,265,51
advanced,266,28
advanced,267,50
advanced,268,19
advanced,269,46
advanced,270,35
advanced,271,11
advanced,272,35
advanced,273,54
advanced,274,25
advanced,275,35
advanced,276,24
advanced,277,39
advanced,278,33
advanced,279,40
advanced,280,28
advanced,281,49
advanced,282,15
advanced,283,40
advanced,284,41
advanced,285,21
advanced,286,15
advanced,287,39
advanced,288,62
advanced,289,29
advanced,290,14
advanced,291,31
advanced,292,23
advanced,293,33
advanced,294,7
advanced,295,10
advanced,296,32
advanced,297,77
advanced,298,29
advanced,299,20
advanced,300,22
advanced,301,32
advanced,302,33
advanced,303,45
advanced,304,16
advanced,305,42
advanced,306,22
advanced,307,30
advanced,308,47
advanced,309,34
advanced,310,49
advanced,311,23
advanced,312,18
advanced,313,53
advanced,314,47
advanced,315,22
advanced,316,39
advanced,317,19
advanced,318,38
advanced,319,55
advanced,320,36
advanced,321,36
advanced,322,27
advanced,323,56
advanced,324,51
advanced,325,61
advanced,326,49
advanced,327,42
advanced,328,19
advanced,329,36
advanced,330,34
advanced,331,14
advanced,332,11
advanced,333,46
advanced,334,17
advanced,335,24
advanced,336,41
advanced,337,51
advanced,338,64
advanced,339,40
advanced,340,29
advanced,341,30
advanced,342,30
advanced,343,33
advanced,344,40
advanced,345,28
advanced,346,19
advanced,347,41
advanced,348,18
advanced,349,24
advanced,350,22
advanced,351,63
advanced,352,38
advanced,353,77
advanced,354,22
advanced,355,63
advanced,356,43
advanced,357,37
advanced,358,31
advanced,359,27
advanced,360,41
advanced,361,61
advanced,362,34
advanced,363,21
advanced,364,17
advanced,365,22
advanced,366,42
advanced,367,38
advanced,368,34
advanced,369,70
advanced,370,51
advanced,371,35
advanced,372,55
advanced,373,55
advanced,374,22
advanced,375,20
advanced,376,28
advanced,377,17
advanced,378,11
advanced,379,36
advanced,380,42
advanced,381,24
advanced,382,65
advanced,383,14
advanced,384,21
advanced,385,20
advanced,386,45
advanced,387,19
advanced,388,25
advanced,389,22
advanced,390,15
advanced,391,39
advanced,392,30
advanced,393,29
advanced,394,22
advanced,395,52
advanced,396,17
advanced,397,8
advanced,398,37
advanced,399,19
advanced,400,46
advanced,401,31
advanced,402,45
advanced,403,61
advanced,404,50
advanced,405,40
advanced,406,48
advanced,407,27
advanced,408,32
advanced,409,58
advanced,410,49
advanced,411,35
advanced,412,24
advanced,413,43
advanced,414,32
advanced,415,32
advanced,416,47
advanced,417,26
advanced,418,56
advanced,419,48
advanced,420,24
advanced,421,42
advanced,422,47
advanced,423,50
advanced,424,22
advanced,425,44
advanced,426,21
advanced,427,22
advanced,428,41
advanced,429,25
advanced,430,38
advanced,431,32
advanced,432,37
advanced,433,21
advanced,434,39
advanced,435,40
advanced,436,57
advanced,437,70
advanced,438,21
advanced,439,22
advanced,440,33
advanced,441,39
advanced,442,38
advanced,443,68
advanced,444,43
advanced,445,30
advanced,446,51
advanced,447,9
advanced,448,16
advanced,449,37
advanced,450,32
advanced,451,37
advanced,452,30
advanced,453,24
advanced,454,82
advanced,455,68
advanced,456,37
advanced,457,31
advanced,458,34
advanced,459,27
advanced,460,44
advanced,461,25
advanced,462,21
advanced,463,50
advanced,464,30
advanced,465,64
advanced,466,23
advanced,467,60
advanced,468,25
advanced,469,24
advanced,470,27
advanced,471,45
advanced,472,31
advanced,473,27
advanced,474,30
advanced,475,46
advanced,476,27
advanced,477,18
advanced,478,32
advanced,479,20
advanced,480,18
advanced,481,24
advanced,482,22
advanced,483,19
advanced,484,24
advanced,485,45
advanced,486,30
advanced,487,26
advanced,488,26
advanced,489,23
advanced,490,56
advanced,491,25
advanced,492,27
advanced,493,30
advanced,494,25
advanced,495,26
advanced,496,49
advanced,497,30
advanced,498,44
advanced,499,21
advanced,500,26
advanced,501,25
advanced,502,23
advanced,503,18
advanced,504,43
advanced,505,19
advanced,506,31
advanced,507,56
advanced,508,37
advanced,509,17
advanced,510,60
advanced,511,55
advanced,512,46
advanced,513,10
advanced,514,21
advanced,515,14
advanced,516,59
advanced,517,48
advanced,518,71
advanced,519,15
advanced,520,30
advanced,521,53
advanced,522,25
advanced,523,20
advanced,524,33
advanced,525,36
advanced,526,25
advanced,527,19
advanced,528,36
advanced,529,13
advanced,530,46
advanced,531,32
advanced,532,25
advanced,533,22
advanced,534,45
advanced,535,24
advanced,536,25
advanced,537,46
advanced,538,39
advanced,539,14
advanced,540,39
advanced,541,63
advanced,542,29
advanced,543,15
advanced,544,32
advanced,545,18
advanced,546,47
advanced,547,49
advanced,548,59
advanced,549,33
advanced,550,33
advanced,551,24
advanced,552,39
advanced,553,37
advanced,554,25
advanced,555,29
advanced,556,34
advanced,557,29
advanced,558,41
advanced,559,39
advanced,560,53
advanced,561,20
advanced,562,35
advanced,563,30
advanced,564,86
advanced,565,28
advanced,566,50
advanced,567,42
advanced,568,17
advanced,569,34
advanced,570,30
advanced,571,31
advanced,572,37
advanced,573,22
advanced,574,53
advanced,575,38
advanced,576,29
advanced,577,32
advanced,578,44
advanced,579,20
advanced,580,67
advanced,581,31
advanced,582,25
advanced,583,41
advanced,584,73
advanced,585,26
advanced,586,31
advanced,587,32
advanced,588,41
advanced,589,24
advanced,590,29
advanced,591,20
advanced,592,23
advanced,593,31
advanced,594,46
advanced,595,20
advanced,596,27
advanced,597,52
advanced,598,33
advanced,599,49
advanced,600,26
advanced,601,31
advanced,602,47
advanced,603,36
advanced,604,30
advanced,605,42
advanced,606,23
advanced,607,27
advanced,608,31
advanced,609,45
advanced,610,62
advanced,611,40
advanced,612,31
advanced,613,17
advanced,614,34
advanced,615,15
advanced,616,47
advanced,617,38
advanced,618,35
advanced,619,30
advanced,620,22
advanced,621,26
advanced,622,34
advanced,623,31
advanced,624,53
advanced,625,15
advanced,626,14
advanced,627,54
advanced,628,46
advanced,629,33
advanced,630,41
advanced,631,18
advanced,632,37
advanced,633,49
advanced,634,31
advanced,635,27
advanced,636,50
advanced,637,33
advanced,638,18
advanced,639,21
advanced,640,21
advanced,641,32
advanced,642,38
advanced,643,38
advanced,644,31
advanced,645,39
advanced,646,36
advanced,647,21
advanced,648,47
advanced,649,43
advanced,650,41
advanced,651,8
advanced,652,10
advanced,653,25
advanced,654,45
advanced,655,51
advanced,656,19
advanced,657,40
advanced,658,19
advanced,659,39
advanced,660,32
advanced,661,38
advanced,662,14
advanced,663,20
advanced,664,35
advanced,665,30
advanced,666,51
advanced,667,60
advanced,668,34
advanced,669,27
advanced,670,44
advanced,671,31
advanced,672,21
advanced,673,47
advanced,674,34
advanced,675,38
advanced,676,42
advanced,677,21
advanced,678,29
advanced,679,64
advanced,680,35
advanced,681,31
advanced,682,28
advanced,683,12
advanced,684,14
advanced,685,21
advanced,686,29
advanced,687,16
advanced,688,23
advanced,689,39
advanced,690,42
advanced,691,42
advanced,692,27
advanced,693,19
advanced,694,30
advanced,695,12
advanced,696,24
advanced,697,20
advanced,698,39
advanced,699,29
advanced,700,41
advanced,701,38
advanced,702,19
advanced,703,43
advanced,704,32
advanced,705,36
advanced,706,33
advanced,707,65
advanced,708,52
advanced,709,20
advanced,710,20
advanced,711,35
advanced,712,29
advanced,713,11
advanced,714,17
advanced,715,17
advanced,716,42
advanced,717,33
advanced,718,13
advanced,719,37
advanced,720,35
advanced,721,50
advanced,722,58
advanced,723,28
advanced,724,16
advanced,725,37
advanced,726,45
advanced,727,43
advanced,728,38
advanced,729,49
advanced,730,29
advanced,731,47
advanced,732,26
advanced,733,31
advanced,734,29
advanced,735,30
advanced,736,25
advanced,737,28
advanced,738,29
advanced,739,25
advanced,740,51
advanced,741,15
advanced,742,25
advanced,743,22
advanced,744,33
advanced,745,38
advanced,746,43
advanced,747,24
advanced,748,20
advanced,749,33
advanced,750,11
advanced,751,51
advanced,752,30
advanced,753,34
advanced,754,22
advanced,755,53
advanced,756,22
advanced,757,23
advanced,758,39
advanced,759,44
advanced,760,27
advanced,761,10
advanced,762,25
advanced,763,32
advanced,764,41
advanced,765,22
advanced,766,13
advanced,767,41
advanced,768,37
advanced,769,27
advanced,770,41
advanced,771,25
advanced,772,40
advanced,773,70
advanced,774,30
advanced,775,28
advanced,776,35
advanced,777,67
advanced,778,41
advanced,779,35
advanced,780,25
advanced,781,41
advanced,782,50
advanced,783,32
advanced,784,50
advanced,785,30
advanced,786,37
advanced,787,18
advanced,788,32
advanced,789,30
advanced,790,34
advanced,791,40
advanced,792,31
advanced,793,34
advanced,794,37
advanced,795,32
advanced,796,22
advanced,797,41
advanced,798,22
advanced,799,9
advanced,800,40
advanced,801,48
advanced,802,37
advanced,803,39
advanced,804,34
advanced,805,68
advanced,806,23
advanced,807,59
advanced,808,73
advanced,809,34
advanced,810,52
advanced,811,37
advanced,812,45
advanced,813,33
advanced,814,28
advanced,815,97
advanced,816,31
advanced,817,27
advanced,818,44
advanced,819,41
advanced,820,56
advanced,821,34
advanced,822,21
advanced,823,23
advanced,824,19
advanced,825,12
advanced,826,12
advanced,827,54
advanced,828,19
advanced,829,66
advanced,830,47
advanced,831,30
advanced,832,69
advanced,833,24
advanced,834,41
advanced,835,40
advanced,836,53
advanced,837,27
advanced,838,43
advanced,839,35
advanced,840,32
advanced,841,48
advanced,842,29
advanced,843,30
advanced,844,17
advanced,845,20
advanced,846,31
advanced,847,21
advanced,848,12
advanced,849,18
advanced,850,28
advanced,851,34
advanced,852,12
advanced,853,28
advanced,854,41
advanced,855,24
advanced,856,28
advanced,857,30
advanced,858,42
advanced,859,28
advanced,860,37
advanced,861,48
advanced,862,31
advanced,863,28
advanced,864,22
advanced,865,50
advanced,866,37
advanced,867,24
advanced,868,48
advanced,869,24
advanced,870,43
advanced,871,23
advanced,872,19
advanced,873,36
advanced,874,16
advanced,875,45
advanced,876,58
advanced,877,32
advanced,878,55
advanced,879,34
advanced,880,19
advanced,881,43
advanced,882,26
advanced,883,32
advanced,884,14
advanced,885,30
advanced,886,29
advanced,887,19
advanced,888,37
advanced,889,49
advanced,890,31
advanced,891,67
advanced,892,47
advanced,893,47
advanced,894,27
advanced,895,30
advanced,896,25
advanced,897,21
advanced,898,16
advanced,899,32
advanced,900,21
advanced,901,48
advanced,902,48
advanced,903,82
advanced,904,65
advanced,905,36
advanced,906,61
advanced,907,46
advanced,908,28
advanced,909,19
advanced,910,17
advanced,911,39
advanced,912,34
advanced,913,49
advanced,914,44
advanced,915,35
advanced,916,39
advanced,917,36
advanced,918,31
advanced,919,21
advanced,920,31
advanced,921,20
advanced,922,17
advanced,923,37
advanced,924,15
advanced,925,51
advanced,926,42
advanced,927,25
advanced,928,34
advanced,929,46
advanced,930,36
advanced,931,34
advanced,932,36
advanced,933,35
advanced,934,39
advanced,935,34
advanced,936,21
advanced,937,36
advanced,938,31
advanced,939,30
advanced,940,18
advanced,941,42
advanced,942,30
advanced,943,44
advanced,944,27
advanced,945,38
advanced,946,34
advanced,947,38
advanced,948,42
advanced,949,37
advanced,950,29
advanced,951,30
advanced,952,29
advanced,953,20
advanced,954,28
advanced,955,26
advanced,956,37
advanced,957,46
advanced,958,22
advanced,959,57
advanced,960,67
advanced,961,25
advanced,962,44
advanced,963,45
advanced,964,46
advanced,965,62
advanced,966,42
advanced,967,53
advanced,968,26
advanced,969,48
advanced,970,57
advanced,971,54
advanced,972,16
advanced,973,42
advanced,974,19
advanced,975,27
advanced,976,46
advanced,977,30
advanced,978,30
advanced,979,32
advanced,980,22
advanced,981,12
advanced,982,34
advanced,983,37
advanced,984,36
advanced,985,42
advanced,986,36
advanced,987,30
advanced,988,27
advanced,989,34
advanced,990,53
advanced,991,35
advanced,992,36
advanced,993,31
advanced,994,41
advanced,995,42
advanced,996,31
advanced,997,35
advanced,998,52
advanced,999,39
advanced,1000,42
advanced,1001,29
advanced,1002,25
advanced,1003,29
advanced,1004,25
advanced,1005,17
advanced,1006,40
advanced,1007,16
advanced,1008,51
advanced,1009,26
advanced,1010,37
advanced,1011,34
advanced,1012,28
advanced,1013,23
advanced,1014,38
advanced,1015,33
advanced,1016,35
advanced,1017,29
advanced,1018,21
advanced,1019,22
advanced,1020,94
advanced,1021,25
advanced,1022,24
advanced,1023,34
advanced,1024,49
advanced,1025,28
advanced,1026,42
advanced,1027,65
advanced,1028,21
advanced,1029,37
advanced,1030,22
advanced,1031,21
advanced,1032,39
advanced,1033,25
advanced,1034,35
advanced,1035,35
advanced,1036,24
advanced,1037,17
advanced,1038,44
advanced,1039,38
advanced,1040,53
advanced,1041,37
advanced,1042,45
advanced,1043,15
advanced,1044,37
advanced,1045,54
advanced,1046,33
advanced,1047,39
advanced,1048,34
advanced,1049,39
advanced,1050,39
advanced,1051,14
advanced,1052,21
advanced,1053,22
advanced,1054,28
advanced,1055,27
advanced,1056,22
advanced,1057,66
advanced,1058,38
advanced,1059,89
advanced,1060,37
advanced,1061,66
advanced,1062,16
advanced,1063,49
advanced,1064,60
advanced,1065,35
advanced,1066,26
advanced,1067,17
advanced,1068,26
advanced,1069,47
advanced,1070,19
advanced,1071,35
advanced,1072,35
advanced,1073,24
advanced,1074,18
advanced,1075,30
advanced,1076,16
advanced,1077,55
advanced,1078,51
advanced,1079,43
advanced,1080,43
advanced,1081,20
advanced,1082,37
advanced,1083,30
advanced,1084,39
advanced,1085,42
advanced,1086,31
advanced,1087,31
advanced,1088,55
advanced,1089,17
advanced,1090,39
advanced,1091,45
advanced,1092,44
advanced,1093,32
advanced,1094,22
advanced,1095,18
advanced,1096,27
advanced,1097,25
advanced,1098,15
advanced,1099,27
advanced,1100,49
advanced,1101,24
advanced,1102,50
advanced,1103,30
advanced,1104,21
advanced,1105,28
advanced,1106,18
advanced,1107,32
advanced,1108,32
advanced,1109,35
advanced,1110,18
advanced,1111,25
advanced,1112,40
advanced,1113,30
advanced,1114,34
advanced,1115,21
advanced,1116,31
advanced,1117,33
advanced,1118,25
advanced,1119,39
advanced,1120,18
advanced,1121,28
advanced,1122,66
advanced,1123,18
advanced,1124,36
advanced,1125,70
advanced,1126,36
advanced,1127,8
advanced,1128,33
advanced,1129,70
advanced,1130,20
advanced,1131,19
advanced,1132,35
advanced,1133,16
advanced,1134,40
advanced,1135,19
advanced,1136,40
advanced,1137,33
advanced,1138,38
advanced,1139,16
advanced,1140,31
advanced,1141,13
advanced,1142,30
advanced,1143,8
advanced,1144,44
advanced,1145,30
advanced,1146,21
advanced,1147,32
advanced,1148,24
advanced,1149,26
advanced,1150,48
advanced,1151,33
advanced,1152,58
advanced,1153,56
advanced,1154,40
advanced,1155,43
advanced,1156,28
advanced,1157,24
advanced,1158,81
advanced,1159,31
advanced,1160,47
advanced,1161,36
advanced,1162,18
advanced,1163,23
advanced,1164,49
advanced,1165,28
advanced,1166,24
advanced,1167,56
advanced,1168,28
advanced,1169,35
advanced,1170,24
advanced,1171,22
advanced,1172,35
advanced,1173,24
advanced,1174,21
advanced,1175,49
advanced,1176,44
advanced,1177,13
advanced,1178,46
advanced,1179,41
advanced,1180,35
advanced,1181,30
advanced,1182,23
advanced,1183,31
advanced,1184,31
advanced,1185,23
advanced,1186,37
advanced,1187,26
advanced,1188,22
advanced,1189,43
advanced,1190,32
advanced,1191,53
advanced,1192,27
advanced,1193,45
advanced,1194,16
advanced,1195,54
advanced,1196,32
advanced,1197,33
advanced,1198,26
advanced,1199,22
advanced,1200,36
advanced,1201,25
advanced,1202,32
advanced,1203,38
advanced,1204,30
advanced,1205,34
advanced,1206,51
advanced,1207,38
advanced,1208,18
advanced,1209,41
advanced,1210,29
advanced,1211,34
advanced,1212,80
advanced,1213,90
advanced,1214,92
advanced,1215,52
advanced,1216,19
advanced,1217,23
advanced,1218,33
advanced,1219,89
advanced,1220,58
advanced,1221,37
advanced,1222,23
advanced,1223,60
advanced,1224,40
advanced,1225,30
advanced,1226,17
advanced,1227,44
advanced,1228,24
advanced,1229,52
advanced,1230,34
advanced,1231,42
advanced,1232,50
advanced,1233,42
advanced,1234,35
advanced,1235,29
advanced,1236,22
advanced,1237,21
advanced,1238,51
advanced,1239,21
advanced,1240,15
advanced,1241,30
advanced,1242,40
advanced,1243,75
advanced,1244,44
advanced,1245,23
advanced,1246,73
advanced,1247,38
advanced,1248,63
advanced,1249,32
advanced,1250,20
advanced,1251,50
advanced,1252,62
advanced,1253,38
advanced,1254,80
advanced,1255,61
advanced,1256,16
advanced,1257,21
advanced,1258,27
advanced,1259,21
advanced,1260,46
advanced,1261,33
advanced,1262,21
advanced,1263,30
advanced,1264,22
advanced,1265,51
advanced,1266,83
advanced,1267,40
advanced,1268,20
advanced,1269,47
advanced,1270,53
advanced,1271,20
advanced,1272,49
advanced,1273,19
advanced,1274,38
advanced,1275,35
advanced,1276,15
advanced,1277,13
advanced,1278,24
advanced,1279,39
advanced,1280,33
advanced,1281,37
advanced,1282,32
advanced,1283,27
advanced,1284,40
advanced,1285,26
advanced,1286,14
advanced,1287,35
advanced,1288,16
advanced,1289,51
advanced,1290,35
advanced,1291,29
advanced,1292,38
advanced,1293,20
advanced,1294,45
advanced,1295,18
advanced,1296,30
advanced,1297,15
advanced,1298,36
advanced,1299,19
advanced,1300,28
advanced,1301,31
advanced,1302,30
advanced,1303,40
advanced,1304,25
advanced,1305,49
advanced,1306,40
advanced,1307,36
advanced,1308,33
advanced,1309,34
advanced,1310,35
advanced,1311,47
advanced,1312,25
advanced,1313,23
advanced,1314,79
advanced,1315,22
advanced,1316,42
advanced,1317,29
advanced,1318,26
advanced,1319,20
advanced,1320,22
advanced,1321,26
advanced,1322,77
advanced,1323,31
advanced,1324,20
advanced,1325,59
advanced,1326,63
advanced,1327,26
advanced,1328,66
advanced,1329,36
advanced,1330,46
advanced,1331,41
advanced,1332,65
advanced,1333,50
advanced,1334,33
advanced,1335,45
advanced,1336,37
advanced,1337,15
advanced,1338,49
advanced,1339,51
advanced,1340,41
advanced,1341,51
advanced,1342,23
advanced,1343,49
advanced,1344,30
advanced,1345,40
advanced,1346,31
advanced,1347,37
advanced,1348,27
advanced,1349,50
advanced,1350,18
advanced,1351,43
advanced,1352,34
advanced,1353,43
advanced,1354,29
advanced,1355,44
advanced,1356,39
advanced,1357,32
advanced,1358,33
advanced,1359,29
advanced,1360,24
advanced,1361,57
advanced,1362,21
advanced,1363,34
advanced,1364,36
advanced,1365,38
advanced,1366,43
advanced,1367,35
advanced,1368,27
advanced,1369,40
advanced,1370,55
advanced,1371,42
advanced,1372,34
advanced,1373,43
advanced,1374,35
advanced,1375,33
advanced,1376,21
advanced,1377,34
advanced,1378,43
advanced,1379,68
advanced,1380,55
advanced,1381,52
advanced,1382,41
advanced,1383,14
advanced,1384,50
advanced,1385,31
advanced,1386,38
advanced,1387,37
advanced,1388,44
advanced,1389,44
advanced,1390,15
advanced,1391,59
advanced,1392,40
advanced,1393,15
advanced,1394,39
advanced,1395,33
advanced,1396,60
advanced,1397,23
advanced,1398,26
advanced,1399,24
advanced,1400,37
advanced,1401,34
advanced,1402,40
advanced,1403,22
advanced,1404,38
advanced,1405,13
advanced,1406,82
advanced,1407,17
advanced,1408,66
advanced,1409,37
advanced,1410,32
advanced,1411,12
advanced,1412,39
advanced,1413,18
advanced,1414,29
advanced,1415,26
advanced,1416,32
advanced,1417,49
advanced,1418,38
advanced,1419,42
advanced,1420,62
advanced,1421,36
advanced,1422,21
advanced,1423,23
advanced,1424,14
advanced,1425,17
advanced,1426,31
advanced,1427,33
advanced,1428,33
advanced,1429,28
advanced,1430,21
advanced,1431,29
advanced,1432,62
advanced,1433,25
advanced,1434,35
advanced,1435,12
advanced,1436,20
advanced,1437,27
advanced,1438,20
advanced,1439,37
advanced,1440,35
advanced,1441,43
advanced,1442,51
advanced,1443,22
advanced,1444,37
advanced,1445,34
advanced,1446,51
advanced,1447,27
advanced,1448,43
advanced,1449,43
advanced,1450,43
advanced,1451,7
advanced,1452,20
advanced,1453,48
advanced,1454,24
advanced,1455,26
advanced,1456,59
advanced,1457,32
advanced,1458,35
advanced,1459,16
advanced,1460,42
advanced,1461,43
advanced,1462,45
advanced,1463,24
advanced,1464,39
advanced,1465,36
advanced,1466,26
advanced,1467,18
advanced,1468,31
advanced,1469,40
advanced,1470,92
advanced,1471,13
advanced,1472,41
advanced,1473,32
advanced,1474,21
advanced,1475,53
advanced,1476,36
advanced,1477,57
advanced,1478,34
advanced,1479,26
advanced,1480,36
advanced,1481,39
advanced,1482,28
advanced,1483,20
advanced,1484,20
advanced,1485,42
advanced,1486,89
advanced,1487,50
advanced,1488,33
advanced,1489,21
advanced,1490,40
advanced,1491,11
advanced,1492,38
advanced,1493,46
advanced,1494,27
advanced,1495,82
advanced,1496,33
advanced,1497,50
advanced,1498,17
advanced,1499,64
advanced,1500,31
advanced,1501,60
advanced,1502,31
advanced,1503,18
advanced,1504,16
advanced,1505,53
advanced,1506,53
advanced,1507,41
advanced,1508,31
advanced,1509,43
advanced,1510,50
advanced,1511,47
advanced,1512,25
advanced,1513,18
advanced,1514,35
advanced,1515,48
advanced,1516,12
advanced,1517,12
advanced,1518,17
advanced,1519,36
advanced,1520,28
advanced,1521,25
advanced,1522,27
advanced,1523,50
advanced,1524,37
advanced,1525,22
advanced,1526,13
advanced,1527,18
advanced,1528,28
advanced,1529,40
advanced,1530,47
advanced,1531,40
advanced,1532,42
advanced,1533,24
advanced,1534,62
advanced,1535,29
advanced,1536,7
advanced,1537,14
advanced,1538,21
advanced,1539,39
advanced,1540,39
advanced,1541,16
advanced,1542,61
advanced,1543,27
advanced,1544,28
advanced,1545,48
advanced,1546,29
advanced,1547,49
advanced,1548,38
advanced,1549,28
advanced,1550,29
advanced,1551,40
advanced,1552,42
advanced,1553,25
advanced,1554,28
advanced,1555,21
advanced,1556,44
advanced,1557,38
advanced,1558,27
advanced,1559,27
advanced,1560,28
advanced,1561,16
advanced,1562,44
advanced,1563,74
advanced,1564,24
advanced,1565,14
advanced,1566,19
advanced,1567,35
advanced,1568,53
advanced,1569,44
advanced,1570,73
advanced,1571,52
advanced,1572,69
advanced,1573,38
advanced,1574,18
advanced,1575,35
advanced,1576,46
advanced,1577,20
advanced,1578,23
advanced,1579,100
advanced,1580,33
advanced,1581,60
advanced,1582,27
advanced,1583,43
advanced,1584,17
advanced,1585,40
advanced,1586,63
advanced,1587,32
advanced,1588,42
advanced,1589,44
advanced,1590,33
advanced,1591,42
advanced,1592,37
advanced,1593,58
advanced,1594,26
advanced,1595,22
advanced,1596,40
advanced,1597,40
advanced,1598,46
advanced,1599,61
advanced,1600,17
advanced,1601,10
advanced,1602,25
advanced,1603,42
advanced,1604,46
advanced,1605,58
advanced,1606,43
advanced,1607,28
advanced,1608,28
advanced,1609,27
advanced,1610,51
advanced,1611,30
advanced,1612,54
advanced,1613,25
advanced,1614,30
advanced,1615,21
advanced,1616,25
advanced,1617,22
advanced,1618,29
advanced,1619,50
advanced,1620,15
advanced,1621,56
advanced,1622,17
advanced,1623,31
advanced,1624,24
advanced,1625,26
advanced,1626,33
advanced,1627,27
advanced,1628,24
advanced,1629,35
advanced,1630,24
advanced,1631,29
advanced,1632,29
advanced,1633,22
advanced,1634,30
advanced,1635,45
advanced,1636,28
advanced,1637,46
advanced,1638,31
advanced,1639,11
advanced,1640,48
advanced,1641,37
advanced,1642,27
advanced,1643,33
advanced,1644,45
advanced,1645,53
advanced,1646,53
advanced,1647,28
advanced,1648,37
advanced,1649,30
advanced,1650,19
advanced,1651,27
advanced,1652,22
advanced,1653,8
advanced,1654,45
advanced,1655,45
advanced,1656,45
advanced,1657,52
advanced,1658,28
advanced,1659,32
advanced,1660,65
advanced,1661,20
advanced,1662,37
advanced,1663,37
